Unique ID,Borough,Geographic School District,Program Type,Program Name,Program Address,Program Zip,Program Phone,"Program Options (Half-Day, Full-Day)","Program Has Income Eligibility Requirements (Yes, No) CBECC Only",New Program for September 2014?,Program Grade Span Public School and Charter School Only,2014-2015 Total Pre-K Seats
02M002,M,02,Public DOE School,P.S. 002 Meyer London,122 Henry Street,10002,212-964-0350,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
02M003,M,02,Public DOE School,P.S. 003 Charrette School,490 Hudson Street,10014,212-691-1183,Both,N/A,,"PK,0K,01,02,03,04,05",54
02M011,M,02,Public DOE School,P.S. 011 William T. Harris,320 West 21 Street,10011,212-929-1743,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
02M033,M,02,Public DOE School,P.S. 033 Chelsea Prep,281 9 Avenue,10001,212-244-6426,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
02M040,M,02,Public DOE School,P.S. 040 Augustus Saint-Gaudens,319 East 19 Street,10003,212-475-5500,Full Day,N/A,Yes,"0K,01,02,03,04,05",18
02M041,M,02,Public DOE School,P.S. 041 Greenwich Village,116 West 11 Street,10011,212-675-2756,Half Day,N/A,,"PK,0K,01,02,03,04,05",36
02M042,M,02,Public DOE School,P.S. 042 Benjamin Altman,71 Hester Street,10002,212-226-8410,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
02M051,M,02,Public DOE School,P.S. 051 Elias Howe,525 West 44Th Street,10036,212-315-7160,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
02M089,M,02,Public DOE School,P.S. 89,201 Warren Street,10282,212-571-5659,Half Day,N/A,,"PK,0K,01,02,03,04,05",32
02M111,M,02,Public DOE School,P.S. 111 Adolph S. Ochs,440 West 53 Street,10019,212-582-7420,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
02M116,M,02,Public DOE School,P.S. 116 Mary Lindley Murray,210 East 33 Street,10016,212-685-4366,Full Day,N/A,Yes,"0K,01,02,03,04,05",36
02M124,M,02,Public DOE School,P.S. 124 Yung Wing,40 Division Street,10002,212-966-7237,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
02M126,M,02,Public DOE School,P.S. 126 Jacob August Riis,80 Catherine Street,10038,212-962-2188,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",46
02M130,M,02,Public DOE School,P.S. 130 Hernando De Soto,143 Baxter Street,10013,212-226-8072,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
02M150,M,02,Public DOE School,P.S. 150,334 Greenwich Street,10013,212-732-4392,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
02M158,M,02,Public DOE School,P.S. 158 Bayard Taylor,1458 York Avenue,10075,212-744-6562,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
02M198,M,02,Public DOE School,P.S. 198 Isador E. Ida Straus,1700 3 Avenue,10128,212-289-3702,Full Day,N/A,,"PK,0K,01,02,03,04,05",28
02M212,M,02,Public DOE School,P.S. 212 Midtown West,328 West 48 Street,10036,212-247-0208,Full Day,N/A,Yes,"0K,01,02,03,04,05",18
02M217,M,02,Public DOE School,P.S./I.S. 217 Roosevelt Island,645 Main Street,10044,212-980-0294,Half Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
02M225,M,02,Public DOE School,Ella Baker School,317 East 67 Street,10065,212-717-8809,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",54
02M267,M,02,Public DOE School,"East Side Elementary School, PS 267",213 East 63Rd Street,10065,212-888-7848,Half Day,N/A,,"PK,0K,01,02,03",36
02M281,M,02,Public DOE School,The River School,425 East 35Th Street,10016,212-251-6640,Half Day,N/A,,"PK,0K,01,02,03,04,05",36
02M340,M,02,Public DOE School,Sixth Avenue Elementary School,590 6Th Avenue,10011,718-935-3440,Half Day,N/A,Yes,N/A [New School in 2014-15],72
02M397,M,02,Public DOE School,SPRUCE STREET SCHOOL,12 Spruce Street,10018,212-266-4800,Half Day,N/A,,"PK,0K,01,02,03,04",72
03M009,M,03,Public DOE School,P.S. 009 Sarah Anderson,100 West 84 Street,10024,212-678-2812,Half Day,N/A,,"PK,0K,01,02,03,04,05",36
03M076,M,03,Public DOE School,P.S. 076 A. Philip Randolph,220 West 121 Street,10027,212-678-2865,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",54
03M084,M,03,Public DOE School,P.S. 084 Lillian Weber,32 West 92 Street,10025,212-799-2534,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
03M087,M,03,Public DOE School,P.S. 087 William Sherman,160 West 78 Street,10024,212-678-2826,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
03M145,M,03,Public DOE School,The Bloomingdale Magnet School for Multimedia Communication,150 West 105 Street,10025,212-678-2857,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
03M149,M,03,Public DOE School,P.S. 149 Sojourner Truth,41 West 117 Street,10026,646-672-9020,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
03M163,M,03,Public DOE School,P.S. 163 Alfred E. Smith,163 West 97 Street,10025,212-678-2854,Full Day,N/A,,"PK,0K,01,02,03,04,05",10
03M165,M,03,Public DOE School,P.S. 165 Robert E. Simon,234 West 109 Street,10025,212-678-2873,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",18
03M180,M,03,Public DOE School,P.S. 180 Hugo Newman,370 West 120 Street,10027,212-678-2849,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",72
03M185,M,03,Public DOE School,P.S. 185 - The Early Childhood Discovery and Design Magnet School,20 West 112 Street,10026,212-534-7490,Full Day,N/A,,"PK,0K,01,02",72
03M191,M,03,Public DOE School,"The Museum Magnet School for Inquiry, Innovation and Imagination",210 West 61 Street,10023,212-757-4343,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",54
03M242,M,03,Public DOE School,P.S. 242 - The Young Diplomats Magnet Academy,134 West 122 Street,10027,212-678-2908,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
04M007,M,04,Public DOE School,P.S. 007 Samuel Stern,160 East 120 Street,10035,212-860-5827,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
04M037,M,04,Public DOE School,River East Elementary,508 East 120 Street,10035,212-348-2208,Full Day,N/A,Yes,"0K,01,02,03,04,05",18
04M038,M,04,Public DOE School,P.S. 38 Roberto Clemente,232 East 103 Street,10029,212-860-5882,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
04M057,M,04,Public DOE School,James Weldon Johnson,176 East 115 Street,10029,212-860-5812,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
04M072,M,04,Public DOE School,The Lexington Academy,131 East 104 Street,10029,212-860-5831,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
04M083,M,04,Public DOE School,P.S. 083 Luis Munoz Rivera,219 East 109 Street,10029,212-860-5847,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
04M096,M,04,Public DOE School,P.S. 096 Joseph Lanzetta,216 East 120 Street,10035,212-860-5851,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
04M102,M,04,Public DOE School,P.S. 102 Jacques Cartier,315 East 113 Street,10029,212-860-5834,Full Day,N/A,,"PK,0K,01,02,03,04,05",28
04M108,M,04,Public DOE School,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,1615 Madison Avenue,10029,212-860-5803,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",18
04M112,M,04,Public DOE School,P.S. 112 Jose Celso Barbosa,535 East 119 Street,10035,212-860-5868,Full Day,N/A,,"PK,0K,01,02",36
04M146,M,04,Public DOE School,P.S. 146 Ann M. Short,421 East 106 Street,10029,212-860-5877,Full Day,N/A,,"PK,0K,01,02,03,04,05",28
04M155,M,04,Public DOE School,P.S. 155 William Paca,319 East 117 Street,10035,212-860-5885,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
04M171,M,04,Public DOE School,P.S. 171 Patrick Henry,19 East 103 Street,10029,212-860-5801,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
04M375,M,04,Public DOE School,Mosaic Preparatory Academy,141 East 111 Street,10029,212-722-3109,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
04M497,M,04,Public DOE School,Central Park East I,1573 Madison Avenue,10029,212-860-5821,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
04M964,M,04,Public DOE School,Central Park East II,19 East 103 Street,10029,212-860-5992,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
05M030,M,05,Public DOE School,P.S. 030 Hernandez/Hughes,144-176 East 128 Street,10035,212-876-1825,Full Day,N/A,,"PK,0K,01,02,03,04,05",28
05M036,M,05,Public DOE School,P.S. 036 Margaret Douglas,123 Morningside Drive,10027,212-690-5807,Full Day,N/A,,"PK,0K,01,02,03,04,05",90
05M046,M,05,Public DOE School,P.S. 046 Arthur Tappan,2987 Frederick Dgls Blvd,10039,212-234-2512,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",54
05M092,M,05,Public DOE School,P.S. 092 Mary McLeod Bethune,222 West 134 Street,10030,212-690-5915,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
05M123,M,05,Public DOE School,P.S. 123 Mahalia Jackson,301 West 140 Street,10030,212-690-5925,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",54
05M125,M,05,Public DOE School,P.S. 125 Ralph Bunche,425 West 123 Street,10027,212-666-6400,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
05M129,M,05,Public DOE School,P.S. 129 John H. Finley,425 West 130 Street,10027,212-690-5932,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
05M133,M,05,Public DOE School,P.S. 133 Fred R Moore,2121 5 Avenue,10037,212-690-5936,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
05M154,M,05,Public DOE School,P.S. 154 Harriet Tubman,250 West 127 Street,10027,212-864-2400,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
05M175,M,05,Public DOE School,P.S. 175 Henry H Garnet,175 West 134 Street,10030,212-283-0426,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
05M194,M,05,Public DOE School,P.S. 194 Countee Cullen,244 West 144 Street,10030,212-690-5954,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
05M197,M,05,Public DOE School,P.S. 197 John B. Russwurm,2230 5 Avenue,10037,212-690-5960,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
05M200,M,05,Public DOE School,P.S. 200- The James Mccune Smith School,2589 7 Avenue,10039,212-491-6636,Full Day,N/A,,"PK,0K,01,02,03,04,05",90
05M517,M,05,Public DOE School,Teachers College Community School,168 Morningside Avenue,10027,212-316-8080,Full Day,N/A,,"PK,0K,01,02",18
06M004,M,06,Public DOE School,P.S. 004 Duke Ellington,500 West 160 Street,10032,212-928-0739,Half Day,N/A,,"PK,0K,01,02,03,04,05",36
06M005,M,06,Public DOE School,P.S. 005 Ellen Lurie,3703 Tenth Avenue,10034,212-567-8109,Full Day,N/A,Yes,"0K,01,02,03,04,05",54
06M008,M,06,Public DOE School,P.S. 008 Luis Belliard,465 West 167 Street,10032,212-928-4364,Full Day,N/A,Yes,"0K,01,02,03,04,05",36
06M028,M,06,Public DOE School,P.S. 028 Wright Brothers,475 West 155 Street,10032,212-690-3014,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
06M048,M,06,Public DOE School,P.S. 048 P.O. Michael J. Buczek,4360-78 Broadway,10033,917-521-3800,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
06M098,M,06,Public DOE School,P.S. 098 Shorac Kappock,512 West 212 Street,10034,212-927-7870,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
06M115,M,06,Public DOE School,P.S. 115 Alexander Humboldt,586 West 177 Street,10033,212-927-9233,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
06M128,M,06,Public DOE School,P.S. 128 Audubon,560 West 169 Street,10032,212-927-0607,Full Day,N/A,,"PK,0K,01,02,03,04,05",90
06M152,M,06,Public DOE School,P.S. 152 Dyckman Valley,93 Nagle Avenue,10040,212-567-5456,Half Day,N/A,,"PK,0K,01,02,03,04,05",36
06M153,M,06,Public DOE School,P.S. 153 Adam Clayton Powell,1750 Amsterdam Avenue,10031,212-927-8611,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
06M173,M,06,Public DOE School,P.S. 173,306 Fort Washington Avenue,10033,212-927-7850,Full Day,N/A,,"PK,0K,01,02,03,04,05",72
06M189,M,06,Public DOE School,P.S. 189,2580 Amsterdam Avenue,10040,212-927-8303,Full Day,N/A,,"PK,0K,01,02,03,04,05",72
06M192,M,06,Public DOE School,P.S. 192 Jacob H. Schiff,500 West 138 Street,10031,212-281-8395,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
06M210,M,06,Public DOE School,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,501-503 West 152 Street,10031,212-283-0012,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",18
06M366,M,06,Public DOE School,Washington Heights Academy,202 Sherman Ave,10034,212-304-3320,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
06M513,M,06,Public DOE School,Castle Bridge School,560 West 169 Street,10032,212-740-4701,Full Day,N/A,,"PK,0K,01,02",18
07X001,X,07,Public DOE School,P.S. 001 Courtlandt School,335 East 152 Street,10451,718-292-9191,Half Day,N/A,,"PK,0K,01,02,03,04,05",36
07X005,X,07,Public DOE School,PS 5 Port Morris,564 Jackson Avenue,10455,718-292-2683,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07",36
07X018,X,07,Public DOE School,P.S. 018 John Peter Zenger,502 Morris Avenue,10451,718-292-2868,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
07X025,X,07,Public DOE School,P.S. 025 Bilingual School,811 East 149 Street,10455,718-292-2995,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
07X029,X,07,Public DOE School,P.S./M.S. 029 Melrose School,758 Courtlandt Avenue,10451,718-292-3785,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",28
07X030,X,07,Public DOE School,P.S. 030 Wilton,510 East 141 Street,10454,718-292-8817,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
07X031,X,07,Public DOE School,P.S./M.S. 031 The William Lloyd Garrison,250 East 156 Street,10451,718-292-4397,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
07X043,X,07,Public DOE School,P.S. 043 Jonas Bronck,165 Brown Place,10454,718-292-4502,Full Day,N/A,,"PK,0K,01,02,03,04,05",72
07X049,X,07,Public DOE School,P.S. 049 Willis Avenue,383 East 139 Street,10454,718-292-4623,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
07X065,X,07,Public DOE School,P.S. 065 Mother Hale Academy,677 East 141 Street,10454,718-292-4628,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
07X154,X,07,Public DOE School,P.S. 154 Jonathan D. Hyatt,333 East 135 Street,10454,718-292-4742,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
07X157,X,07,Public DOE School,P.S. 157 Grove Hill,757 Cauldwell Avenue,10456,718-292-5255,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
07X161,X,07,Public DOE School,P.S. 161 Ponce De Leon,628 Tinton Avenue,10455,718-292-5478,Full Day,N/A,,"PK,0K,01,02,03,04,05",78
07X179,X,07,Public DOE School,P.S. 179,468 East 140 Street,10454,718-292-2237,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
07X277,X,07,Public DOE School,P.S. 277,519 St Anns Avenue,10455,718-292-3594,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
07X359,X,07,Public DOE School,Concourse Village Elementary School,750 Concourse Village West,10451,718-402-7503,Full Day,N/A,,"PK,0K,01,02",24
07X369,X,07,Public DOE School,Young Leaders Elementary School,468 East 140 Street,10454,718-292-7391,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
08X036,X,08,Public DOE School,P.S. 036 Unionport,1070 Castle Hill Avenue,10472,718-822-5345,Both,N/A,,"PK,0K,01,02,03,04,05",54
08X048,X,08,Public DOE School,P.S. 048 Joseph R. Drake,1290 Spofford Avenue,10474,718-589-4312,Full Day,N/A,,"PK,0K,01,02,03,04,05",108
08X062,X,08,Public DOE School,P.S. 062 Inocensio Casanova,660 Fox Street,10455,718-585-1617,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
08X069,X,08,Public DOE School,P.S. 069 Journey Prep School,560 Thieriot Avenue,10473,718-378-4736,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
08X072,X,08,Public DOE School,P.S. 072 Dr. William Dorney,2951 Dewey Avenue,10465,718-822-5311,Full Day,N/A,,"PK,0K,01,02,03,04,05",72
08X075,X,08,Public DOE School,P.S. 75 School of Research and Discovery,984 Faile Street,10459,718-860-1630,Full Day,N/A,,"PK,0K,01,02,03,04,05",48
08X093,X,08,Public DOE School,P.S. 093 Albert G. Oliver,1535 Story Avenue,10473,718-430-1700,Full Day,N/A,,"PK,0K,01,02,03,04,05",66
08X100,X,08,Public DOE School,P.S. 100 Isaac Clason,800 Taylor Avenue,10473,718-842-1461,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
08X107,X,08,Public DOE School,P.S. 107,1695 Seward Avenue,10473,718-860-8760,Half Day,N/A,,"PK,0K,01,02,03,04,05",36
08X119,X,08,Public DOE School,P.S. 119,1075 Pugsley Avenue,10472,718-822-5198,Half Day,N/A,,"PK,0K,01,02,03,04,05",72
08X130,X,08,Public DOE School,P.S. 130 Abram Stevens Hewitt,750 Prospect Avenue,10455,718-665-0962,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
08X138,X,08,Public DOE School,P.S. 138 Samuel Randall,2060 Lafayette Avenue,10473,718-822-5325,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
08X140,X,08,Public DOE School,P.S. X140 The Eagle School,916 Eagle Avenue,10456,718-585-1205,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
08X146,X,08,Public DOE School,P.S. 146 Edward Collins,968 Cauldwell Avenue,10456,718-378-9664,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
08X152,X,08,Public DOE School,P.S. 152 Evergreen,1007 EVERGREEN AVENUE,10472,718-589-4560,Full Day,N/A,,"PK,0K,01,02,03,04,05",72
08X182,X,08,Public DOE School,P.S. 182,601 Stickball Boulevard,10473,718-828-6607,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
08X304,X,08,Public DOE School,P.S. 304 Early Childhood School,2750 Lafayette Avenue,10465,718-822-5307,Half Day,N/A,,"PK,0K,01,02,03,04,05",72
08X333,X,08,Public DOE School,P.S. 333 - The Museum School,888 Rev J A Polite Ave,10459,718-860-3313,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
08X335,X,08,Public DOE School,The Academy of the Arts,888 Rev J A Polite Ave,10459,718-860-3401,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
08X392,X,08,Public DOE School,Bronx Delta School,650 Hollywood Avenue,10465,516-519-3358,Full Day,N/A,Yes,N/A [New School in 2014-15],18
09X004,X,09,Public DOE School,P.S./M.S. 004 Crotona Park West,1701 Fulton Avenue,10457,718-583-6655,Full Day,N/A,Yes,"0K,01,02,03,04,05,06,07,08",36
09X028,X,09,Public DOE School,P.S. 028 Mount Hope,1861 Anthony Avenue,10457,718-583-6444,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
09X042,X,09,Public DOE School,P.S. 042 Claremont,1537 Washington Avenue,10457,718-583-7366,Full Day,N/A,,"PK,0K,01,02,03,04,05",28
09X053,X,09,Public DOE School,P.S. 053 Basheer Quisim,360 East 168 Street,10456,718-681-7276,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
09X055,X,09,Public DOE School,P.S. 055 Benjamin Franklin,450 Saint Paul'S Place,10456,718-681-6227,Full Day,N/A,,"PK,0K,01,02,03,04,05",72
09X058,X,09,Public DOE School,P.S. 058,459 East 176 Street,10457,718-583-6866,Full Day,N/A,Yes,"0K,01,02,03,04,05",36
09X063,X,09,Public DOE School,P.S. 063 Author's Academy,1260 Franklin Avenue,10456,718-589-3058,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
09X073,X,09,Public DOE School,P.S. 073 Bronx,1020 Anderson Avenue,10452,718-681-6776,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
09X109,X,09,Public DOE School,P.S. 109 Sedgwick,1771 Popham Avenue,10453,718-583-8878,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
09X110,X,09,Public DOE School,P.S. 110 Theodore Schoenfeld,580 Crotona Park South,10456,718-861-0759,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
09X126,X,09,Public DOE School,P.S. 126 Dr Marjorie H Dunbar,175 West 166 Street,10452,718-681-6120,Full Day,N/A,,"PK,0K,01,02,03,04,05",90
09X163,X,09,Public DOE School,P.S. 163 Arthur A. Schomburg,2075 Webster Avenue,10457,718-584-3045,Full Day,N/A,Yes,"0K,01,02,03,04,05",18
09X199,X,09,Public DOE School,P.S. 199X - The Shakespeare School,1449 Shakespeare Avenue,10452,718-681-7172,Full Day,N/A,,"PK,0K,01,02,03,04,05",54
09X204,X,09,Public DOE School,P.S. 204 Morris Heights,1780 Dr. Martin Luther King Jr. Blvd,10453,718-960-9520,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
09X236,X,09,Public DOE School,P.S. 236 Langston Hughes,1871 Walton Avenue,10453,718-299-6128,Full Day,N/A,,"PK,0K,01,02,03,04",28
09X274,X,09,Public DOE School,The New American Academy at Roberto Clemente State Park,275 Harlem River Park Bridge,10453,718-901-9703,Full Day,N/A,,"PK,0K,01,02,04,05",72
09X555,X,09,Public DOE School,Mount Eden Children's Academy,1501 Jerome Avenue,10452,718-294-8155,Full Day,N/A,,"PK,0K,01,02",36
10X003,X,10,Public DOE School,P.S. 3 Raul Julia Micro Society,2100 Lafontaine Avenue,10457,718-584-1899,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",18
10X009,X,10,Public DOE School,P.S. 9 Ryer Avenue Elementary School,230 East 183 Street,10458,718-584-3291,Both,N/A,,"PK,0K,01,02,03,04,05",72
10X020,X,10,Public DOE School,P.S. 20 P.O.George J. Werdan III,3050 Webster Avenue,10467,718-515-9370,Half Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",36
10X023,X,10,Public DOE School,P.S. 023 The New Children's School,2151 Washington Avenue,10457,718-584-3992,Full Day,N/A,,"PK,0K,01,02,03,04,05",48
10X033,X,10,Public DOE School,P.S. 033 Timothy Dwight,2424 Jerome Avenue,10468,718-584-3926,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
10X051,X,10,Public DOE School,P.S. 051 Bronx New School,695 East 182Nd Street,10457,718-733-0347,Full Day,N/A,Yes,"0K,01,02,03,04,05",36
10X054,X,10,Public DOE School,P.S. / I.S. 54,2703 Webster Avenue,10458,718-584-4203,Full Day,N/A,,"PK,0K,01,02,03,04,05",36
10X059,X,10,Public DOE School,P.S. 059 The Community School of Technology,2185 Bathgate Avenue,10457,718-584-4730,Full Day,N/A,,"PK,0K,01,02,03,04,05",64
10X077,X,10,Public DOE School,Bedford Park Elementary School,3177 Webster Avenue,10467,718-935-3665,Full Day,N/A,Yes,N/A [New School in 2014-15],18
10X086,X,10,Public DOE School,P.S. 086 Kingsbridge Heights,2756 Reservoir Avenue,10468,718-584-5585,Half Day,N/A,,"PK,0K,01,02,03,04,05,06",72
10X095,X,10,Public DOE School,P.S. 095 Sheila Mencher,3961 Hillman Avenue,10463,718-796-9200,Full Day,N/A,,"PK,0K,01,02,03,04,05,06,07,08",18
10X207,X,10,Public DOE School,P.S. 207,3030 Godwin Terrace,10463,718-796-9645,Full Day,N/A,,"PK,0K,01,02",18
10X209,X,10,Public DOE School,P.S. 209,313 East 183Rd Street,10458,718-364-0085,Full Day,N/A,,"PK,0K,01,02",36
10X226,X,10,Public DOE School,P.S. 226,1950 Sedgwick Avenue,10453,718-583-5560,Full Day,N/A,,"PK,0K,01,02,03,04,05",18
10X307,X,10,Public DOE School,Luisa Pineiro Fuentes School of Science and Discovery,124 Eames Place,10468,718-601-2632,Half Day,N/A,,"PK,0K,01,02,03,04,05",36
10X310,X,10,Public DOE School,P.S. 310 Marble Hill,260 W Kingsbridge Rd,10463,718-796-9434,Both,N/A,,"PK,0K,01,02,03,04,05",54
10X340,X,10,Public DOE School,P.S. 340,25 West 195 Street,10468,718-220-1830,Full Day,N/A,,"PK,0K,01,02,03,04,05,06",18
10X360,X,10,Public DOE School,P.S. 360,2880 Kingsbridge Terrace,10463,718-548-1511,Full Day,N/A,,"PK,0K,01,02,03,04,05,06",64
